edad,grupo
27.0,Joven
33.0,Joven
29.0,Joven
31.0,Joven
35.0,Joven
23.0,Joven
49.0,Joven
21.0,Joven
19.0,Joven
40.0,Joven
37.0,Joven
36.0,Joven
36.0,Joven
30.0,Joven
22.0,Joven
31.0,Joven
24.0,Joven
39.0,Joven
29.0,Joven
23.0,Joven
27.0,Joven
34.0,Joven
25.0,Joven
23.0,Joven
32.0,Joven
32.0,Joven
25.0,Joven
26.0,Joven
32.0,Joven
18.0,Joven
18.0,Joven
24.0,Joven
28.0,Joven
33.0,Joven
43.0,Joven
38.0,Joven
29.0,Joven
30.0,Joven
21.0,Joven
30.0,Joven
27.0,Joven
33.0,Joven
23.0,Joven
35.0,Joven
44.0,Joven
29.0,Joven
34.0,Joven
36.0,Joven
26.0,Joven
32.0,Joven
30.0,Joven
31.0,Joven
23.0,Joven
30.0,Joven
34.0,Joven
43.0,Joven
39.0,Joven
49.0,Joven
23.0,Joven
38.0,Joven
32.0,Joven
50.0,Joven
23.0,Joven
22.0,Joven
25.0,Joven
18.0,Joven
25.0,Joven
23.0,Joven
31.0,Joven
33.0,Joven
47.0,Joven
39.0,Joven
25.0,Joven
22.0,Joven
34.0,Joven
18.0,Joven
46.0,Joven
41.0,Joven
26.0,Joven
18.0,Joven
42.0,Joven
29.0,Joven
41.0,Joven
18.0,Joven
25.0,Joven
30.0,Joven
30.0,Joven
26.0,Joven
36.0,Joven
20.0,Joven
29.0,Joven
31.0,Joven
35.0,Joven
36.0,Joven
20.0,Joven
18.0,Joven
41.0,Joven
33.0,Joven
23.0,Joven
44.0,Joven
31.0,Joven
41.0,Joven
31.0,Joven
49.0,Joven
46.0,Joven
28.0,Joven
39.0,Joven
36.0,Joven
42.0,Joven
21.0,Joven
36.0,Joven
40.0,Joven
18.0,Joven
19.0,Joven
18.0,Joven
28.0,Joven
36.0,Joven
44.0,Joven
31.0,Joven
45.0,Joven
18.0,Joven
18.0,Joven
30.0,Joven
33.0,Joven
30.0,Joven
18.0,Joven
29.0,Joven
18.0,Joven
36.0,Joven
33.0,Joven
22.0,Joven
25.0,Joven
20.0,Joven
29.0,Joven
39.0,Joven
21.0,Joven
35.0,Joven
25.0,Joven
23.0,Joven
29.0,Joven
21.0,Joven
25.0,Joven
19.0,Joven
48.0,Joven
30.0,Joven
24.0,Joven
32.0,Joven
29.0,Joven
28.0,Joven
36.0,Joven
37.0,Joven
25.0,Joven
25.0,Joven
28.0,Joven
18.0,Joven
18.0,Joven
42.0,Joven
45.0,Joven
28.0,Joven
35.0,Joven
33.0,Joven
58.0,Joven
40.0,Joven
29.0,Joven
21.0,Joven
18.0,Joven
32.0,Joven
23.0,Joven
18.0,Joven
24.0,Joven
20.0,Joven
45.0,Joven
38.0,Joven
30.0,Joven
43.0,Joven
31.0,Joven
22.0,Joven
44.0,Joven
35.0,Joven
21.0,Joven
28.0,Joven
22.0,Joven
18.0,Joven
38.0,Joven
47.0,Joven
18.0,Joven
35.0,Joven
24.0,Joven
26.0,Joven
25.0,Joven
22.0,Joven
30.0,Joven
23.0,Joven
32.0,Joven
30.0,Joven
28.0,Joven
22.0,Joven
25.0,Joven
37.0,Joven
35.0,Joven
21.0,Joven
31.0,Joven
37.0,Joven
18.0,Joven
35.0,Joven
24.0,Joven
35.0,Joven
23.0,Joven
18.0,Joven
18.0,Joven
30.0,Joven
32.0,Joven
22.0,Joven
36.0,Joven
18.0,Joven
29.0,Joven
19.0,Joven
24.0,Joven
30.0,Joven
22.0,Joven
27.0,Joven
39.0,Joven
25.0,Joven
38.0,Joven
20.0,Joven
35.0,Joven
43.0,Joven
18.0,Joven
23.0,Joven
35.0,Joven
28.0,Joven
33.0,Joven
25.0,Joven
31.0,Joven
29.0,Joven
41.0,Joven
32.0,Joven
33.0,Joven
26.0,Joven
26.0,Joven
26.0,Joven
34.0,Joven
26.0,Joven
33.0,Joven
49.0,Joven
38.0,Joven
27.0,Joven
41.0,Joven
26.0,Joven
18.0,Joven
21.0,Joven
18.0,Joven
27.0,Joven
30.0,Joven
45.0,Joven
33.0,Joven
28.0,Joven
37.0,Joven
18.0,Joven
32.0,Joven
37.0,Joven
18.0,Joven
40.0,Joven
33.0,Joven
26.0,Joven
36.0,Joven
50.0,Joven
32.0,Joven
32.0,Joven
26.0,Joven
22.0,Joven
37.0,Joven
22.0,Joven
31.0,Joven
26.0,Joven
34.0,Joven
33.0,Joven
39.0,Joven
25.0,Joven
28.0,Joven
21.0,Joven
26.0,Joven
33.0,Joven
73.0,Mayor
56.0,Mayor
74.0,Mayor
79.0,Mayor
69.0,Mayor
84.0,Mayor
57.0,Mayor
53.0,Mayor
47.0,Mayor
80.0,Mayor
72.0,Mayor
64.0,Mayor
68.0,Mayor
54.0,Mayor
85.0,Mayor
66.0,Mayor
66.0,Mayor
72.0,Mayor
70.0,Mayor
67.0,Mayor
57.0,Mayor
70.0,Mayor
84.0,Mayor
78.0,Mayor
81.0,Mayor
60.0,Mayor
55.0,Mayor
64.0,Mayor
66.0,Mayor
76.0,Mayor
48.0,Mayor
80.0,Mayor
63.0,Mayor
61.0,Mayor
55.0,Mayor
48.0,Mayor
73.0,Mayor
66.0,Mayor
52.0,Mayor
52.0,Mayor
62.0,Mayor
82.0,Mayor
62.0,Mayor
50.0,Mayor
63.0,Mayor
62.0,Mayor
38.0,Mayor
64.0,Mayor
63.0,Mayor
72.0,Mayor
83.0,Mayor
76.0,Mayor
62.0,Mayor
54.0,Mayor
85.0,Mayor
66.0,Mayor
65.0,Mayor
65.0,Mayor
67.0,Mayor
64.0,Mayor
59.0,Mayor
60.0,Mayor
65.0,Mayor
60.0,Mayor
58.0,Mayor
66.0,Mayor
62.0,Mayor
80.0,Mayor
38.0,Mayor
76.0,Mayor
77.0,Mayor
44.0,Mayor
62.0,Mayor
61.0,Mayor
51.0,Mayor
57.0,Mayor
54.0,Mayor
83.0,Mayor
74.0,Mayor
78.0,Mayor
72.0,Mayor
54.0,Mayor
60.0,Mayor
70.0,Mayor
53.0,Mayor
72.0,Mayor
63.0,Mayor
61.0,Mayor
72.0,Mayor
69.0,Mayor
61.0,Mayor
77.0,Mayor
54.0,Mayor
71.0,Mayor
71.0,Mayor
62.0,Mayor
68.0,Mayor
52.0,Mayor
74.0,Mayor
63.0,Mayor
60.0,Mayor
75.0,Mayor
58.0,Mayor
51.0,Mayor
49.0,Mayor
71.0,Mayor
52.0,Mayor
83.0,Mayor
44.0,Mayor
82.0,Mayor
67.0,Mayor
64.0,Mayor
60.0,Mayor
69.0,Mayor
65.0,Mayor
76.0,Mayor
66.0,Mayor
67.0,Mayor
61.0,Mayor
64.0,Mayor
68.0,Mayor
48.0,Mayor
52.0,Mayor
72.0,Mayor
67.0,Mayor
63.0,Mayor
65.0,Mayor
68.0,Mayor
60.0,Mayor
57.0,Mayor
67.0,Mayor
55.0,Mayor
69.0,Mayor
48.0,Mayor
75.0,Mayor
70.0,Mayor
68.0,Mayor
75.0,Mayor
82.0,Mayor
75.0,Mayor
47.0,Mayor
52.0,Mayor
59.0,Mayor
65.0,Mayor
70.0,Mayor
58.0,Mayor
67.0,Mayor
57.0,Mayor
59.0,Mayor
51.0,Mayor
56.0,Mayor
51.0,Mayor
55.0,Mayor
76.0,Mayor
56.0,Mayor
85.0,Mayor
70.0,Mayor
67.0,Mayor
56.0,Mayor
72.0,Mayor
59.0,Mayor
66.0,Mayor
85.0,Mayor
64.0,Mayor
76.0,Mayor
58.0,Mayor
65.0,Mayor
83.0,Mayor
59.0,Mayor
83.0,Mayor
72.0,Mayor
59.0,Mayor
71.0,Mayor
75.0,Mayor
71.0,Mayor
49.0,Mayor
58.0,Mayor
63.0,Mayor
64.0,Mayor
71.0,Mayor
67.0,Mayor
52.0,Mayor
69.0,Mayor
71.0,Mayor
71.0,Mayor
76.0,Mayor
73.0,Mayor
70.0,Mayor
64.0,Mayor
48.0,Mayor
69.0,Mayor
67.0,Mayor
68.0,Mayor
52.0,Mayor
54.0,Mayor
76.0,Mayor
65.0,Mayor
72.0,Mayor
65.0,Mayor
65.0,Mayor
74.0,Mayor
60.0,Mayor
66.0,Mayor
60.0,Mayor
61.0,Mayor
62.0,Mayor
67.0,Mayor
60.0,Mayor
78.0,Mayor
56.0,Mayor
63.0,Mayor
61.0,Mayor
79.0,Mayor
67.0,Mayor
75.0,Mayor
50.0,Mayor
68.0,Mayor
74.0,Mayor
66.0,Mayor
76.0,Mayor
60.0,Mayor
79.0,Mayor
85.0,Mayor
61.0,Mayor
61.0,Mayor
80.0,Mayor
81.0,Mayor
60.0,Mayor
61.0,Mayor
62.0,Mayor
52.0,Mayor
56.0,Mayor
55.0,Mayor
57.0,Mayor
65.0,Mayor
67.0,Mayor
81.0,Mayor
55.0,Mayor
75.0,Mayor
63.0,Mayor
65.0,Mayor
72.0,Mayor
54.0,Mayor
69.0,Mayor
67.0,Mayor
70.0,Mayor
68.0,Mayor
85.0,Mayor
59.0,Mayor
60.0,Mayor
59.0,Mayor
59.0,Mayor
59.0,Mayor
77.0,Mayor
79.0,Mayor
59.0,Mayor
57.0,Mayor
70.0,Mayor
59.0,Mayor
71.0,Mayor
67.0,Mayor
50.0,Mayor
80.0,Mayor
83.0,Mayor
59.0,Mayor
61.0,Mayor
68.0,Mayor
68.0,Mayor
72.0,Mayor
85.0,Mayor
63.0,Mayor
57.0,Mayor
51.0,Mayor
58.0,Mayor
65.0,Mayor
83.0,Mayor
60.0,Mayor
67.0,Mayor
65.0,Mayor
77.0,Mayor
85.0,Mayor
60.0,Mayor
60.0,Mayor
75.0,Mayor
72.0,Mayor
83.0,Mayor
71.0,Mayor
61.0,Mayor
71.0,Mayor
76.0,Mayor
73.0,Mayor
70.0,Mayor
76.0,Mayor
77.0,Mayor
79.0,Mayor
71.0,Mayor
63.0,Mayor
66.0,Mayor
77.0,Mayor
57.0,Mayor
69.0,Mayor
61.0,Mayor
65.0,Mayor
78.0,Mayor
67.0,Mayor
65.0,Mayor
51.0,Mayor
72.0,Mayor
71.0,Mayor
85.0,Mayor
62.0,Mayor
67.0,Mayor
67.0,Mayor
81.0,Mayor
64.0,Mayor
68.0,Mayor
71.0,Mayor
67.0,Mayor
61.0,Mayor
67.0,Mayor
76.0,Mayor
55.0,Mayor
66.0,Mayor
58.0,Mayor
77.0,Mayor
50.0,Mayor
59.0,Mayor
69.0,Mayor
81.0,Mayor
64.0,Mayor
59.0,Mayor
84.0,Mayor
51.0,Mayor
43.0,Mayor
69.0,Mayor
60.0,Mayor
55.0,Mayor
72.0,Mayor
67.0,Mayor
59.0,Mayor
52.0,Mayor
74.0,Mayor
72.0,Mayor
64.0,Mayor
83.0,Mayor
54.0,Mayor
50.0,Mayor
58.0,Mayor
65.0,Mayor
67.0,Mayor
63.0,Mayor
69.0,Mayor
52.0,Mayor
79.0,Mayor
64.0,Mayor
76.0,Mayor
68.0,Mayor
70.0,Mayor
71.0,Mayor
69.0,Mayor
71.0,Mayor
78.0,Mayor
67.0,Mayor
72.0,Mayor
64.0,Mayor
79.0,Mayor
58.0,Mayor
83.0,Mayor
65.0,Mayor
51.0,Mayor
66.0,Mayor
58.0,Mayor
73.0,Mayor
58.0,Mayor
61.0,Mayor
46.0,Mayor
60.0,Mayor
41.0,Mayor
49.0,Mayor
73.0,Mayor
73.0,Mayor
69.0,Mayor
55.0,Mayor
65.0,Mayor
65.0,Mayor
53.0,Mayor
80.0,Mayor
74.0,Mayor
63.0,Mayor
65.0,Mayor
67.0,Mayor
45.0,Mayor
63.0,Mayor
58.0,Mayor
55.0,Mayor
62.0,Mayor
83.0,Mayor
71.0,Mayor
59.0,Mayor
71.0,Mayor
